OBJECTID,PROJECT_NUMBER,SEGMENT_NUMBER,LINE_TYPE,LINE_TYPE_DESC,PHYSICAL_PIPE_LENGTH,STATUS,APPLICATION_DETERMINATION_NUM,ACTIVITY_APPROVAL_DATE,ACTIVITY_CANCEL_DATE,LEGACY_OGC_FILE_NUMBER,PROPONENT,AUTHORITY_TYPE,DATA_SOURCE,SHAPELEN
292911,000024605,1,FL,Flow,635.11,New,100102505,2017-08-17T15:07:13.000Z,,,Saguaro Resources Ltd.,OGAA,GPSD,634.741479112925
292912,000024607,1,GA,Gathering,1259.2,Active,100103387,2017-10-13T10:48:42.000Z,,,TAQA North Ltd.,OGAA,GPSD,1260.2379765719
292913,000024608,1,GA,Gathering,1181.73,Active,100102485,2017-10-04T08:37:58.000Z,,,Crew Energy Inc.,OGAA,CGWC,1181.21153288064
292914,000024608,2,DI,Distribution,342.2,Active,100102485,2017-10-04T08:37:58.000Z,,,Crew Energy Inc.,OGAA,CGWC,342.969817598256
292915,000024609,1,GA,Gathering,2022,Active,100103441,2017-10-19T10:15:26.000Z,,,Yoho Resources Inc.,OGAA,GPSD,2018.96563381473
292916,000024609,2,GA,Gathering,1295,Active,100103441,2018-01-22T13:23:35.000Z,,,Yoho Resources Inc.,OGAA,GPSD,1294.92551891185
292917,000024610,1,FL,Flow,8228,New,100103469,2018-01-22T14:20:31.000Z,,,ARC Resources Ltd.,OGAA,SNK,8216.45026622457
292918,000024610,2,FL,Flow,3576,New,100103469,2018-01-22T14:20:31.000Z,,,ARC Resources Ltd.,OGAA,SNK,3573.49170320585
292919,000024615,1,GA,Gathering,1249,Active,100103473,2017-09-19T14:40:20.000Z,,,ARC Resources Ltd.,OGAA,SNK,1249.70440997821
292920,000024615,2,GA,Gathering,1249,Active,100103473,2017-09-19T14:40:20.000Z,,,ARC Resources Ltd.,OGAA,SNK,1250.84372331895
292921,000024615,3,GA,Gathering,1249,Active,100103473,2017-09-19T14:40:20.000Z,,,ARC Resources Ltd.,OGAA,SNK,1251.98277659731
292922,000024615,4,GA,Gathering,1249,Active,100103473,2017-09-19T14:40:20.000Z,,,ARC Resources Ltd.,OGAA,SNK,1253.12209257734
292923,000024617,1,GA,Gathering,3152,Active,100103500,2017-09-08T14:19:33.000Z,,,ARC Resources Ltd.,OGAA,SNK,3114.8177593221
292924,000024618,1,GA,Gathering,2523,Active,100102698,2017-10-18T16:27:13.000Z,,,Painted Pony Energy Ltd.,OGAA,GPSD,2522.23559623411
292925,000024618,2,GA,Gathering,2522,Active,100102698,2017-10-18T16:27:13.000Z,,,Painted Pony Energy Ltd.,OGAA,GPSD,2521.58583844548
292926,000024621,1,IN,Injection,200,Active,100103554,2017-10-17T15:32:33.000Z,,,Shell Canada Limited,OGAA,GPSD,176.780609531579
292927,000024627,1,IN,Injection,6558,New,100103179,2018-01-30T10:21:00.000Z,,,Storm Resources Ltd.,OGAA,GPSD,6559.03610789055
